utterance_id,timestamp,channel,device_type,region,language,utterance_text,asr_confidence,duration_seconds,intent,split
utt_00433,2025-12-18T15:57:00,whatsapp_voice_note,web,Northern,en,I made a mistake in my application. How do I correct it?,0.769,5,update_application_details,train
utt_00560,2025-11-26T13:22:00,whatsapp_voice_note,android,Northern,mixed,"OTP ntabwo igeze, what can I do?",0.859,5,reset_password_login_help,train
utt_00484,2025-12-03T01:33:00,whatsapp_voice_note,web,Western,en,I want to talk to an agent.,0.78,4,speak_to_agent,train
utt_00518,2025-11-30T20:02:00,whatsapp_voice_note,web,Northern,rw,Ni izihe documents nkeneye kuri visa yo kuza?,0.949,7,requirements_information,train
utt_00133,2025-11-02T15:48:00,whatsapp_voice_note,android,Kigali,rw,Nshaka guhindura password yanjye.,0.778,4,reset_password_login_help,train
utt_00177,2025-10-21T17:40:00,ivr,android,Western,rw,Nkeneye gukora application nshya ya birth certificate.,0.678,9,start_new_application,train
utt_00073,2025-11-21T07:47:00,voice_call,ios,Eastern,mixed,I submitted application number ariko status sinayibona.,0.9,7,check_application_status,train
utt_00255,2025-12-19T21:29:00,voice_call,android,Northern,en,The attachment upload is failing.,0.99,4,document_upload_help,train
utt_00579,2025-10-09T11:32:00,mobile_app_voice,ios,Western,en,What documents do I need for marriage certificate?,0.804,5,requirements_information,train
utt_00651,2025-11-01T02:49:00,whatsapp_voice_note,android,Western,en,My payment failed for birth certificate. What should I do?,0.867,4,payment_help,train
utt_00597,2025-12-14T21:39:00,voice_call,web,Western,rw,Mumpuze n'umuntu umbwire neza.,0.794,7,speak_to_agent,train
utt_00668,2025-10-18T12:49:00,ivr,web,Southern,en,I want to start a new application for visa on arrival.,0.957,6,start_new_application,train
utt_00353,2025-11-06T06:45:00,mobile_app_voice,feature_phone,Western,en,I paid but it is not confirmed.,0.815,2,payment_help,train
utt_00077,2025-10-13T21:36:00,whatsapp_voice_note,web,Kigali,rw,Nshaka kumenya ikiguzi cya attestation y’imisoro.,0.921,4,fees_information,train
utt_00149,2025-11-09T18:52:00,mobile_app_voice,web,Northern,rw,Checka niba application yanjye yarangiye.,0.768,4,check_application_status,train
utt_00347,2025-11-12T21:23:00,ivr,android,Western,mixed,Nkeneye update details za application number yanjye.,0.804,4,update_application_details,train
utt_00091,2025-10-25T10:33:00,mobile_app_voice,ios,Southern,mixed,Fee ya permis ni angahe?,0.904,5,fees_information,train
utt_00542,2025-12-16T20:04:00,mobile_app_voice,web,Western,mixed,How do I pay for icyangombwa cy’ubutaka on mobile money?,0.851,6,payment_help,train
utt_00011,2025-10-03T01:04:00,voice_call,android,Northern,en,What documents do I need for marriage certificate?,0.754,6,requirements_information,train
utt_00064,2025-11-25T10:04:00,ivr,ios,Western,mixed,Ni nde eligible kuri ESIA?,0.901,14,service_eligibility,train
utt_00637,2025-10-07T16:45:00,ivr,ios,Eastern,mixed,Nashaka gufata appointment ya passport i Gasabo.,0.788,3,appointment_booking,train
utt_00526,2025-10-10T12:35:00,mobile_app_voice,web,Southern,rw,Payment yaranze kuri birth certificate.,0.833,3,payment_help,train
utt_00175,2025-10-12T21:53:00,ivr,ios,Eastern,rw,"Nakoze application nabi, nakosora he?",0.881,3,update_application_details,train
utt_00257,2025-11-09T17:09:00,voice_call,android,Kigali,mixed,What documents nkeneye kuri ID replacement?,0.907,8,requirements_information,train
utt_00669,2025-12-05T00:54:00,mobile_app_voice,web,Kigali,rw,Ese visa yo kuza iba isabwa n’abantu b’iki cyiciro?,0.79,6,service_eligibility,train
utt_00032,2025-10-24T13:04:00,voice_call,ios,Northern,en,Help me schedule an appointment for land title in Rwamagana.,0.881,5,appointment_booking,train
utt_00370,2025-12-15T12:04:00,voice_call,android,Southern,rw,Fee yo gusaba visa yo kuza ni angahe?,0.851,11,fees_information,train
utt_00486,2025-12-11T10:56:00,mobile_app_voice,android,Southern,mixed,Ni nde eligible kuri ID replacement?,0.911,8,service_eligibility,train
utt_00078,2025-10-15T21:05:00,voice_call,android,Northern,rw,Natanze application number ariko sinzi aho igeze.,0.856,7,check_application_status,train
utt_00667,2025-12-10T10:36:00,voice_call,feature_phone,Western,mixed,Ni izihe requirements za birth certificate?,0.945,7,requirements_information,train
utt_00550,2025-12-11T14:39:00,mobile_app_voice,web,Western,en,How can I book a slot for passport?,0.88,7,appointment_booking,train
utt_00212,2025-10-07T09:45:00,voice_call,android,Southern,mixed,Ese progress ya ESIA application yanjye iri he?,0.876,3,check_application_status,train
utt_00056,2025-11-16T01:29:00,whatsapp_voice_note,web,Northern,mixed,"Serivisi ya marriage certificate irimo ikibazo, help.",0.842,7,complaint_or_support_ticket,train
utt_00136,2025-11-27T01:36:00,whatsapp_voice_note,web,Southern,mixed,I submitted case ariko status sinayibona.,0.804,6,check_application_status,train
utt_00673,2025-10-18T08:01:00,ivr,web,Eastern,rw,Ndashaka kuvugana numukozi.,0.808,4,speak_to_agent,train
utt_00341,2025-12-01T14:07:00,voice_call,feature_phone,Western,en,I made a mistake in my application. How do I correct it?,0.933,2,update_application_details,train
utt_00003,2025-09-30T22:34:00,ivr,ios,Kigali,mixed,I submitted case ariko status sinayibona.,0.822,7,check_application_status,train
utt_00228,2025-12-10T17:53:00,ivr,web,Southern,en,I want to start a new application for ESIA.,0.894,6,start_new_application,train
utt_00082,2025-11-06T05:44:00,ivr,feature_phone,Northern,mixed,Booking y'igihe ya permis bikora gute?,0.781,7,appointment_booking,train
utt_00474,2025-11-15T23:14:00,voice_call,feature_phone,Eastern,mixed,"Nshaka apply for tax clearance, ntangira he?",0.873,8,start_new_application,train
utt_00696,2025-11-14T01:19:00,ivr,feature_phone,Southern,mixed,Ndashaka gukora complaint about visa yo kuza.,0.9,7,complaint_or_support_ticket,train
utt_00512,2025-11-11T17:01:00,whatsapp_voice_note,web,Southern,en,Help me edit my application information.,0.71,6,update_application_details,train
utt_00606,2025-11-13T14:17:00,ivr,ios,Northern,rw,Nkeneye uko nongeza document kuri request.,0.834,6,document_upload_help,train
utt_00121,2025-12-20T18:32:00,ivr,android,Southern,rw,Mumfashishe gufata igihe cyo icyangombwa cy’ubutaka.,0.83,7,appointment_booking,train
utt_00312,2025-12-04T13:42:00,voice_call,ios,Northern,rw,"Nshaka gusaba ID replacement, ntangira he?",0.826,3,start_new_application,train
utt_00205,2025-12-17T05:37:00,mobile_app_voice,android,Eastern,rw,Amabwiriza yo gusaba birth certificate ni ayahe?,0.695,7,requirements_information,train
utt_00245,2025-10-12T14:05:00,ivr,web,Northern,en,I paid but it is not confirmed.,0.809,4,payment_help,train
utt_00688,2025-11-20T04:01:00,mobile_app_voice,ios,Kigali,mixed,Booking yigihe ya attestation y’imisoro bikora gute?,0.95,5,appointment_booking,train
utt_00272,2025-10-07T06:03:00,mobile_app_voice,ios,Southern,en,I want to check the sttatus of my application.,0.758,7,check_application_status,train
utt_00132,2025-11-12T15:18:00,whatsapp_voice_note,web,Western,rw,Ndashaka gutangira gusaba pasiporo.,0.815,8,start_new_application,train
utt_00682,2025-12-07T16:10:00,mobile_app_voice,ios,Northern,en,My payment failed for birth certificate. What should I do?,0.756,7,payment_help,train
utt_00061,2025-12-22T08:32:00,ivr,feature_phone,Eastern,mixed,Help me reset password yanjye.,0.865,3,reset_password_login_help,train
utt_00311,2025-10-19T17:57:00,whatsapp_voice_note,web,Northern,rw,Ndashaka gusubika appointment yanjye.,0.816,7,cancel_or_reschedule_appointment,train
utt_00031,2025-11-24T15:21:00,mobile_app_voice,web,Northern,rw,Natanze dossier ariko sinzi aho igeze.,0.807,6,check_application_status,train
utt_00070,2025-11-09T08:07:00,voice_call,ios,Kigali,rw,"Nabonye ikibazo cyo kwinjira, password yibagiwe.",0.824,4,reset_password_login_help,train
utt_00602,2025-11-13T05:01:00,voice_call,ios,Eastern,rw,"Nabonye ikibazo cyo kwinjira, password yibagiwe.",0.877,7,reset_password_login_help,train
utt_00391,2025-11-30T16:41:00,whatsapp_voice_note,android,Eastern,en,Can you tell me the progress of my driving license application?,0.956,5,check_application_status,train
utt_00045,2025-10-14T19:12:00,voice_call,android,Northern,rw,Nkeneye ibisabwa byo gukora icyemezo cy’ubukwe.,0.862,6,requirements_information,train
utt_00627,2025-12-15T15:20:00,voice_call,web,Northern,rw,Natanze application ariko sinzi aho igeze.,0.72,7,check_application_status,train
utt_00071,2025-10-23T20:59:00,voice_call,web,Southern,en,My payment failed for passport. What should I do?,0.698,6,payment_help,train
utt_00517,2025-10-31T11:49:00,ivr,android,Western,rw,"Nashatse kwishyura ESIA bikanga, nakora iki?",0.781,6,payment_help,train
utt_00656,2025-10-01T01:13:00,voice_call,ios,Kigali,en,The attachment upload is failing.,0.834,9,document_upload_help,train
utt_00250,2025-11-01T15:19:00,ivr,ios,Northern,mixed,Can you check status ya application yanjye?,0.811,5,check_application_status,train
utt_00210,2025-10-17T05:42:00,whatsapp_voice_note,android,Eastern,rw,Nshaka guhindura password yanjye.,0.834,5,reset_password_login_help,train
utt_00166,2025-10-09T09:08:00,mobile_app_voice,android,Southern,mixed,Fee ya birth certificate ni angahe?,0.697,3,fees_information,train
utt_00471,2025-10-14T22:05:00,mobile_app_voice,web,Kigali,rw,Ndashaka gutanga ikibazo/complaint kuri gusimbuza indangamuntu.,0.735,6,complaint_or_support_ticket,train
utt_00165,2025-11-17T15:09:00,mobile_app_voice,web,Eastern,en,I cannot log in to my account.,0.93,5,reset_password_login_help,train
utt_00642,2025-11-21T05:42:00,ivr,feature_phone,Kigali,mixed,"I made a mistake muri application, nakosora he?",0.959,3,update_application_details,train
utt_00324,2025-11-01T22:09:00,ivr,android,Kigali,en,Please open a support ticket for my issue.,0.99,5,complaint_or_support_ticket,train
utt_00066,2025-12-15T15:50:00,ivr,ios,Kigali,rw,Ese marriage certificate iba isabwa n’abantu b’iki cyiciro?,0.758,5,service_eligibility,train
utt_00410,2025-11-19T08:48:00,ivr,web,Southern,en,What is the fee for marriage certificate?,0.842,5,fees_information,train
utt_00050,2025-09-30T05:58:00,voice_call,feature_phone,Southern,mixed,What documents nkeneye kuri icyemezo cy’amavuko?,0.937,6,requirements_information,train
utt_00119,2025-10-21T19:08:00,voice_call,ios,Southern,rw,Ese icyemezo cy’amavuko bisaba amafaranga angahe?,0.82,6,fees_information,train
utt_00193,2025-10-20T22:02:00,voice_call,android,Kigali,rw,Mwashobora kungufasha gutangiza passport?,0.817,4,start_new_application,train
utt_00040,2025-12-06T20:49:00,mobile_app_voice,ios,Eastern,rw,"OTP ntabwo igeze, mwamfasha?",0.746,9,reset_password_login_help,train
utt_00260,2025-12-19T02:17:00,mobile_app_voice,android,Western,mixed,Help me gutangira application ya tax clearance.,0.847,6,start_new_application,train
utt_00423,2025-11-22T03:41:00,mobile_app_voice,feature_phone,Northern,rw,"Nashatse kwishyura visa on arrival bikanga, nakora iki?",0.757,7,payment_help,train
utt_00007,2025-10-29T21:52:00,voice_call,android,Southern,en,Help me apply for visa on arrival.,0.816,6,start_new_application,train
utt_00102,2025-12-20T05:27:00,mobile_app_voice,feature_phone,Southern,mixed,I submitted dossier ariko status sinayibona.,0.744,2,check_application_status,train
utt_00544,2025-11-22T23:14:00,whatsapp_voice_note,feature_phone,Southern,en,My payment failed for land title. What should I do?,0.911,7,payment_help,train
utt_00300,2025-11-20T00:16:00,ivr,feature_phone,Northern,en,Help me apply for marriage certificate.,0.839,2,start_new_application,train
utt_00396,2025-10-25T18:25:00,whatsapp_voice_note,ios,Western,mixed,Ese progress ya ESIA application yanjye iri he?,0.99,4,check_application_status,train
utt_00583,2025-12-19T06:47:00,ivr,android,Northern,rw,Ni iki ngomba kuzana kugira ngo nsabe permis?,0.712,4,requirements_information,train
utt_00319,2025-12-05T06:45:00,whatsapp_voice_note,ios,Eastern,en,Please share the documents needed to apply for ESIA.,0.933,6,requirements_information,train
utt_00146,2025-09-30T07:50:00,ivr,android,Southern,mixed,Nishyuye but ntabwo byemejwe.,0.777,5,payment_help,train
utt_00488,2025-11-12T04:07:00,mobile_app_voice,feature_phone,Western,rw,Natanze request ariko sinzi aho igeze.,0.909,5,check_application_status,train
utt_00354,2025-10-13T21:03:00,mobile_app_voice,ios,Northern,en,How do I pay for tax clearance?,0.796,9,payment_help,train
utt_00209,2025-10-02T13:12:00,mobile_app_voice,ios,Southern,rw,Fee yo gusaba marriage certificate ni angahe?,0.845,2,fees_information,train
utt_00697,2025-09-27T15:00:00,whatsapp_voice_note,web,Eastern,en,What are the eligibility rules for ESIA?,0.899,3,check_application_status,train
utt_00362,2025-12-16T14:11:00,whatsapp_voice_note,android,Northern,en,I want to start a new aplication for driving license.,0.874,2,start_new_application,train
utt_00087,2025-11-07T23:10:00,ivr,web,Eastern,rw,Ndashaka kumenya aho application number igeze.,0.773,7,check_application_status,train
utt_00632,2025-12-20T08:14:00,ivr,feature_phone,Eastern,mixed,Nshaka cost/fee ya ESIA.,0.711,8,speak_to_agent,train
utt_00483,2025-10-11T04:43:00,mobile_app_voice,web,Southern,mixed,Ndashaka gukora new application ya marriage certificate.,0.93,3,start_new_application,train
utt_00635,2025-10-11T15:29:00,voice_call,web,Kigali,rw,Mwashobora kungufasha gutangiza ID replacement?,0.787,7,start_new_application,train
utt_00042,2025-11-06T12:00:00,ivr,web,Southern,mixed,Ni nde eligible kuri icyangombwa cy’ubutaka?,0.925,3,service_eligibility,train
utt_00109,2025-09-30T00:58:00,whatsapp_voice_note,feature_phone,Southern,en,Can you tell me the progress of my tax clearance application?,0.862,7,check_application_status,train
utt_00692,2025-09-27T17:01:00,mobile_app_voice,web,Kigali,rw,Nshaka guhindura password yanjye.,0.78,6,reset_password_login_help,train
utt_00057,2025-11-16T22:20:00,mobile_app_voice,android,Northern,mixed,Can you check status ya dossier yanjye?,0.898,5,check_application_status,train
utt_00425,2025-10-10T13:05:00,voice_call,android,Eastern,mixed,What documents nkeneye kuri birth certificate?,0.99,5,requirements_information,train
utt_00516,2025-10-20T11:23:00,ivr,android,Southern,rw,Nshaka kumenya ikiguzi cya birth certificate.,0.841,7,fees_information,train
utt_00025,2025-12-10T14:49:00,ivr,android,Kigali,mixed,How much amafaranga yo kwandikisha ubucuruzi?,0.795,4,fees_information,train
utt_00219,2025-10-27T07:26:00,mobile_app_voice,feature_phone,Eastern,en,How do I pay for passport?,0.899,6,payment_help,train
utt_00432,2025-11-04T06:49:00,ivr,web,Southern,rw,Checka niba case yanjye yarangiye.,0.876,8,check_application_status,train
utt_00282,2025-11-12T19:13:00,ivr,feature_phone,Eastern,mixed,Ni izihe requirements za ID replacement?,0.824,1,requirements_information,train
utt_00111,2025-11-11T17:34:00,ivr,web,Northern,mixed,Nishyuye but ntabwo byemejwe.,0.99,4,payment_help,train
utt_00083,2025-10-27T06:44:00,whatsapp_voice_note,android,Northern,en,Where is my application now?,0.866,5,check_application_status,train
utt_00052,2025-10-01T06:24:00,voice_call,web,Eastern,rw,Ni izihe documents nkeneye kuri kwandikisha ubucuruzi?,0.814,6,requirements_information,train
utt_00221,2025-11-15T22:32:00,whatsapp_voice_note,android,Southern,en,Help me schedule an appointment for business registration in Rubavu.,0.952,4,appointment_booking,train
utt_00670,2025-11-15T22:52:00,voice_call,web,Northern,rw,"Nashatse kwishyura visa on arrival bikanga, nakora iki?",0.738,3,update_application_details,train
utt_00546,2025-10-21T13:35:00,ivr,ios,Western,rw,Natanze application number ariko sinzi aho igeze.,0.662,7,check_application_status,train
utt_00303,2025-12-15T10:11:00,voice_call,feature_phone,Eastern,en,What is the fee for birth certificate?,0.946,5,fees_information,train
utt_00578,2025-12-21T20:47:00,ivr,ios,Southern,en,My payment failed for tax clearance. What should I do?,0.891,4,payment_help,train
utt_00216,2025-11-23T17:14:00,whatsapp_voice_note,feature_phone,Western,rw,Nashaka gufata rendez-vous ya attestation y’imisoro.,0.861,4,appointment_booking,train
utt_00236,2025-12-12T12:57:00,mobile_app_voice,web,Northern,rw,Ndashaka gutangira gusaba icyemezo cy’ubukwe.,0.827,8,start_new_application,train
utt_00019,2025-10-08T18:53:00,whatsapp_voice_note,feature_phone,Kigali,en,How do I add documents to my application?,0.822,5,document_upload_help,train
utt_00251,2025-11-23T05:17:00,ivr,android,Western,mixed,Eligibility ya birth certificate ni iyihe?,0.883,6,service_eligibility,train
utt_00261,2025-12-12T22:30:00,mobile_app_voice,web,Western,mixed,What documents nkeneye kuri land title?,0.889,5,requirements_information,train
utt_00431,2025-10-06T19:44:00,mobile_app_voice,ios,Southern,mixed,Nshaka requirements and steps za visa yo kuza.,0.795,5,requirements_information,train
utt_00265,2025-10-15T06:06:00,whatsapp_voice_note,ios,Eastern,rw,Ndashaka gutanga ikibazo/complaint kuri kwandikisha ubucuruzi.,0.869,6,complaint_or_support_ticket,train
utt_00062,2025-12-06T23:24:00,mobile_app_voice,feature_phone,Kigali,mixed,Ni nde eligible kuri business registration?,0.947,8,service_eligibility,train
utt_00214,2025-11-20T10:57:00,whatsapp_voice_note,ios,Western,rw,Ndashaka gutangira gusaba icyemezo cy’ubukwe.,0.84,8,start_new_application,train
utt_00378,2025-10-17T18:55:00,mobile_app_voice,feature_phone,Northern,rw,Natanze case ariko sinzi aho igeze.,0.825,7,check_application_status,train
utt_00030,2025-11-23T01:42:00,whatsapp_voice_note,ios,Southern,en,Where is my aplication now?,0.747,5,check_application_status,train
utt_00183,2025-12-14T02:37:00,voice_call,feature_phone,Southern,mixed,Ndashaka gukora complaint about kwandikisha ubucuruzi.,0.864,8,complaint_or_support_ticket,train
utt_00307,2025-12-13T12:25:00,mobile_app_voice,ios,Kigali,rw,Mwashobora kungufasha gutangiza ESIA?,0.818,8,start_new_application,train
utt_00389,2025-10-22T20:48:00,voice_call,web,Northern,rw,Ndashaka kumenya aho case igeze.,0.776,6,check_application_status,train
utt_00330,2025-10-05T23:29:00,whatsapp_voice_note,android,Western,mixed,Nkeneye update details za application yanjye.,0.836,9,update_application_details,train
utt_00438,2025-10-27T20:07:00,ivr,web,Eastern,rw,"Nshaka gusaba ESIA, ntangira he?",0.831,2,start_new_application,train
utt_00297,2025-11-25T10:13:00,mobile_app_voice,android,Eastern,rw,Ese icyemezo cy’ubukwe iba isabwa n’abantu b’iki cyiciro?,0.862,4,reset_password_login_help,train
utt_00586,2025-12-24T03:31:00,mobile_app_voice,ios,Eastern,en,Where is my application now?,0.665,5,check_application_status,train
utt_00343,2025-09-25T04:02:00,whatsapp_voice_note,feature_phone,Northern,en,How do I begin an application for ID replacement?,0.868,3,service_eligibility,train
utt_00437,2025-10-06T08:07:00,voice_call,feature_phone,Eastern,rw,"Sinshoboye gushyiraho document, mwamfasha?",0.971,9,document_upload_help,train
utt_00581,2025-11-26T06:44:00,voice_call,android,Eastern,en,Can you tell me the progress of my passport application?,0.834,6,check_application_status,train
utt_00327,2025-12-07T05:12:00,whatsapp_voice_note,web,Northern,en,Can you tell me the progress of my business registration application?,0.855,6,check_application_status,train
utt_00363,2025-11-27T08:04:00,mobile_app_voice,android,Southern,en,Where is my application now?,0.801,8,check_application_status,train
utt_00619,2025-10-27T15:05:00,mobile_app_voice,feature_phone,Eastern,rw,Natanze dossier ariko sinzi aho igeze.,0.706,5,check_application_status,train
utt_00580,2025-12-13T16:39:00,ivr,android,Eastern,rw,Ntabasha kwinjira muri account yanjye.,0.754,8,reset_password_login_help,train
utt_00232,2025-10-15T01:20:00,ivr,web,Western,en,I want to check the status of my application.,0.825,5,check_application_status,train
utt_00337,2025-10-10T04:29:00,mobile_app_voice,feature_phone,Northern,en,My payment failed for ESIA. What should I do?,0.971,7,payment_help,train
utt_00657,2025-10-21T05:50:00,whatsapp_voice_note,feature_phone,Eastern,en,Am I eligible to apply for land title?,0.913,6,service_eligibility,train
utt_00164,2025-10-31T04:47:00,whatsapp_voice_note,ios,Eastern,rw,"Nshaka gusaba permis, ntangira he?",0.852,5,start_new_application,train
utt_00287,2025-12-12T08:51:00,voice_call,feature_phone,Western,en,I forgot my password.,0.842,6,reset_password_login_help,train
utt_00614,2025-12-04T06:53:00,voice_call,feature_phone,Northern,rw,Nkeneye kumenya eligibility ya icyemezo cy’amavuko.,0.899,5,service_eligibility,train
utt_00519,2025-11-27T22:29:00,whatsapp_voice_note,feature_phone,Kigali,rw,Ndashaka kumenya aho dossier igeze.,0.648,4,check_application_status,train
utt_00465,2025-10-02T18:01:00,mobile_app_voice,web,Northern,mixed,What documents nkeneye kuri pasiporo?,0.99,8,document_upload_help,train
utt_00278,2025-10-23T12:39:00,voice_call,android,Western,mixed,Ndashaka reschedule appointment yanjye ya tax clearance.,0.911,8,cancel_or_reschedule_appointment,train
utt_00409,2025-09-25T05:15:00,mobile_app_voice,ios,Kigali,rw,Ese permis iba isabwa n’abantu b’iki cyiciro?,0.736,1,service_eligibility,train
utt_00105,2025-12-04T18:30:00,ivr,feature_phone,Kigali,en,Where is my aplication now?,0.859,5,check_application_status,train
utt_00115,2025-11-07T19:02:00,voice_call,web,Western,mixed,Eligibility ya business registration ni iyihe?,0.754,10,service_eligibility,train
utt_00629,2025-11-11T06:02:00,whatsapp_voice_note,web,Eastern,rw,Ese attestation y’imisoro bisaba amafaranga angahe?,0.988,5,fees_information,train
utt_00587,2025-10-13T14:33:00,voice_call,feature_phone,Northern,en,I forgot my password.,0.937,8,fees_information,train
utt_00468,2025-11-27T10:21:00,mobile_app_voice,android,Eastern,mixed,How do I upload documents kuri ESIA?,0.833,5,document_upload_help,train
utt_00093,2025-09-28T14:09:00,whatsapp_voice_note,web,Western,mixed,Ndashaka kureba status ya application yanjye ya tax clearance.,0.964,6,check_application_status,train
utt_00008,2025-12-11T06:47:00,voice_call,feature_phone,Southern,rw,Uburyo bwo kwishyura kwandikisha ubucuruzi ni ubuhe?,0.772,5,payment_help,train
utt_00090,2025-10-11T20:23:00,voice_call,feature_phone,Southern,mixed,Cancel appointment ya driving license please.,0.858,6,cancel_or_reschedule_appointment,train
utt_00530,2025-10-26T12:47:00,voice_call,web,Northern,mixed,Help me edit application info.,0.849,7,update_application_details,train
utt_00381,2025-09-26T05:52:00,voice_call,ios,Northern,en,The OTP is not coming through.,0.843,9,reset_password_login_help,train
utt_00523,2025-12-07T10:35:00,mobile_app_voice,ios,Southern,mixed,"OTP ntabwo igeze, what can I do?",0.936,6,reset_password_login_help,train
utt_00568,2025-12-07T16:44:00,ivr,web,Northern,rw,Nshaka kumenya ikiguzi cya pasiporo.,0.757,5,fees_information,train
utt_00364,2025-10-30T15:52:00,voice_call,ios,Southern,mixed,Help me reset password yanjye.,0.773,5,reset_password_login_help,train
utt_00640,2025-10-20T03:08:00,ivr,feature_phone,Eastern,rw,Payment yaranze kuri tax clearance.,0.891,5,payment_help,train
